number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.840995945334245,2026-03-01 14:10:28.283173,2026-03-01 14:10:38.898891,0 days 00:00:10.615718,0.9207488710140077,75,0.0029813770307052724,7,158,0.012313185468743897,2464,165,3.189558257433924,68.00759466734245,1.4604981309148681,0.7105857020572387,,,COMPLETE
1,0.8565221369340563,2026-03-01 14:10:38.901993,2026-03-01 14:10:40.522713,0 days 00:00:01.620720,0.9530564762544467,68,0.04931971559288606,6,106,0.0011352037010541887,1903,187,0.28945743793615764,0.288100449320714,0.6266762858712516,0.9091306486449496,0.8671290366075642,0.8586362695148848,COMPLETE
2,0.8572748023230057,2026-03-01 14:10:40.526381,2026-03-01 14:10:41.558090,0 days 00:00:01.031709,0.7744693695582717,85,0.20488076178531783,6,70,0.18723826599997598,2472,172,0.003758956483794702,16.16555309446666,4.123202386128542,0.9476509558244903,0.8593266943398408,,COMPLETE
3,0.8661743602584969,2026-03-01 14:10:41.560085,2026-03-01 14:10:44.356100,0 days 00:00:02.796015,0.8699523774329321,78,0.0034831692310756976,7,21,0.005459442990081154,2774,238,0.1359066326112449,2.3905570899706423,0.5692930860651022,0.6189421115206061,0.8661743602584969,,PRUNED
4,0.8631213221484912,2026-03-01 14:10:44.358479,2026-03-01 14:10:47.955132,0 days 00:00:03.596653,0.9648491545732617,90,0.006555845553592281,4,118,0.0010642808503928906,2018,137,9.296636809266305,14.524344196393692,8.838933302775391,0.8469766835217188,0.8631213221484912,,PRUNED
5,0.8561668119347786,2026-03-01 14:10:47.957128,2026-03-01 14:10:53.451710,0 days 00:00:05.494582,0.9928018966087818,79,0.0050886340074975545,7,83,0.0016424597689546315,989,166,0.0030027805331995197,0.03131632575245507,4.568889481390273,0.7806593633043436,0.8561668119347786,,PRUNED
6,0.8567152391867554,2026-03-01 14:10:53.453705,2026-03-01 14:10:57.126597,0 days 00:00:03.672892,0.7202566823081205,81,0.014732992751498175,5,89,0.13912547180286208,2750,41,0.28092862158076665,0.559207115308422,7.826601870595609,0.6024834066348518,0.8679434610087546,0.8589414529379472,COMPLETE
7,0.8674209773574366,2026-03-01 14:10:57.128743,2026-03-01 14:11:01.535689,0 days 00:00:04.406946,0.827363846098876,75,0.05608433493489958,9,131,0.05665516705915337,2578,52,6.393152366775282,1.2968719897940162,2.108296580037806,0.6610291098698021,0.8674209773574366,,PRUNED
8,0.8573665379318316,2026-03-01 14:11:01.538134,2026-03-01 14:11:09.722496,0 days 00:00:08.184362,0.8231043313709798,80,0.021375308080191696,4,156,0.6799256856837608,2174,213,0.003878176760471735,73.0039111673775,0.5464389413942462,0.9187468734900787,0.8703987730061351,0.859681537787366,COMPLETE
9,0.860309059914669,2026-03-01 14:11:09.724575,2026-03-01 14:11:10.263080,0 days 00:00:00.538505,0.7010463020186121,86,0.0019167018709944073,6,97,4.804080591664696,984,245,0.005374708639511808,0.24662390583051552,7.451328619624178,0.9516276646058703,0.860309059914669,,PRUNED
